Stát,Otázka,Jednoduchá hra,Obtížna hra
Itálie,"Země, ve které se narodil a tvořil všestranně nadaný renesanční umělec a vynálezce Leonardo da Vinci.",a,*
Itálie,Rodiště jednoho z nejznámějších operních zpěváků Luciana Pavarotti.,a,*
Lichtenštejnsko,"Jediná země v Evropě, která je pojmenovaná podle šlechtického rodu.",,*
Lotyšsko,"Jazyk této země je spřízněn se sanskrtem, starobylým indickým jazykem. Může to být Polsko, Finsko nebo Lotyšsko.",,*
Lucembursko,"Vlajku má téměř shodnou s Nizozemskou, pouze se světlejším modrým pruhem. Vlajka je také delší.",,*
Maďarsko,"Rodákem z této země byl Erno Rubik, vynálezce slavné Rubikovy kostky.",a,*
Maďarsko,Obyvatelé této země jsou mistři v užívání papriky při kořenění jídel. Průměrně zkonzumují přes půl kila tohoto koření ročně.,a,*
Maďarsko,"Typické pro tuto zemi je guláš, čabajka, paprikáš, perkelt a uherský salám.",a,*
Makedonie,"Republika, která patřila mezi státy bývalé Jugoslávie. Není to Chorvatsko, Bosna a Hercegovina, Srbsko, Albánie, Slovinsko, Černá Hora ani Kosovo.",,*
Malta,Z této země pocházejí maltézští rytíři.,a,*
Monako,Země známá také díky závodům formule 1.,a,*
Monako,"Která země má vlajku velice podobnou Polsku, jen má barvy naopak – červený nahoře a bílý dole?",,*
Monako,"Jedná se o ministát, který má městskou část zvanou Monte Carlo.",,*
Německo,"Země, která byla po druhé světové válce rozdělena na dva státy. Ke sjednocení došlo v roce 1990.",,*
Německo,"Pochází odtud jeden z největších fyziků všech dob Albert Einstein, který vymyslel teorii relativity.",a,*
Německo,"Rodiště bratří Grimmů, kteří napsali pohádku Sněhurka, Červená Karkulka nebo Šípková Růženka.",a,*
Nizozemsko,"Povrch této země tvoří nížiny, přibližně čtvrtina jejího území leží pod úrovní hladiny moře.",,*
Nizozemsko,Země tulipánů a větrných mlýnů.,a,*
Nizozemsko,"Je to země, které se někdy nesprávně říká Holandsko. Holland je přitom pouze část celého státu.",a,*
Norsko,Nalézají se zde ve větší míře dlouhé a úzké mořské zálivy s typickými strmými svahy tzv. fjordy.,a,*
Polsko,Rodiště prvního slovanského papeže Jana Pavla II.,a,*
Polsko,"Země, ze které pocházejí známé kreslené postavičky Lolek a Bolek.",a,*
Portugalsko,Svůj název získala tato země podle města Porto.,a,*
Rakousko,"Pochází odtud tanec Valčík, který zpopularizoval rakouský hudební skladatel Johann Strauss ml.",a,*
Rakousko,"Rodiště herce Arnolda Schwarzeneggera, známého s filmů Terminátor, Barbar Conan nebo Junior.",a,*
Rumunsko,"Tato země odvozuje svůj název od latinského „Romanus“, což znamená „Říman“.",a,*
Rumunsko,Pochází odtud nejznámější a nejmocnější upír Drákula.,a,*
Rusko,Odkud pochází pohádka Mrazík?,a,*
Rusko,Jakému státu patří území ve východní Evropě vklíněné mezi Polsko a Litvu tzv. Kaliningradská oblast?,,*
Rusko,"Stát, jehož hlavní město je s 10 miliony obyvateli nejlidnatějším městem Evropy.",,*
Řecko,Uskutečnili se zde první antické olympijské hry a to již v roce 776 před Kristem.,a,*
Řecko,Zapaluje se zde vždy pár měsíců před začátkem olympijských her olympijský oheň.,a,*
Slovensko,"Narodil se zde Jánošík, který podle pověsti bohatým bral a chudým dával.",a,*
Slovensko,"Pro tuto zemi jsou typičtí bačové, halušky, korbáčik, brynza a fujara.",a,*
Spojené království,Udržuje se zde tradiční společenská událost „Čaj o páté“.,a,*
Spojené království,"Země, ze které pochází hudební skupina Queen a komická postavička Mr.Bean.",a,*
Spojené království,"V jedné části této země nosí muži kilt, zavinovací sukni s barevným kárem (kostkou).",a,*
Srbsko,Narodil se zde vynálezce rádia Nikola Tesla.,,*
Španělsko,Působí zde fotbalový klub Real Madrid.,a,*
Španělsko,"Země, odkud pochází světoznámý tanec Flamenco.",a,*
Švédsko,Pochází odtud světoznámá hudební skupina ABBA.,a,*
Švédsko,"V této zemi mají původ známé podniky IKEA, Husquarna a H&M.",a,*
Švýcarsko,Země proslulá výrobou hodinek.,a,*
Turecko,Typickým jídlem je zde kebab.,a,*
Ukrajina,"Nachází se zde Podkarpatská Rus, která v letech 1919-1939 patřila k tehdejšímu Československu.",,*
Vatikán,Evropský církevní stát.,a,*
